"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2000";32893;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2001";37633;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2002";36717;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2003";36412;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2004";33848;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2005";30323;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2006";23445;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2007";17893;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2008";16154;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2009";24113;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2010";27173;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2011";27778;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2012";30195;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2013";30427;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2014";24460;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2015";19581;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2016";16405;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2017";13281;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2018";11999;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2019";9871;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2020";14412;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2021";12430;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2022";11074;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2000";14612;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2001";18084;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2002";18621;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2003";18693;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2004";16848;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2005";14438;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2006";10152;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2007";7337;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2008";7151;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2009";12166;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2010";13372;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2011";13138;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2012";14959;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2013";15234;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2014";12063;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2015";9392;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2016";7816;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2017";6097;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2018";5414;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2019";4469;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2020";6848;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2021";6052;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2022";5413;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2000";18281;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2001";19549;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2002";18096;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2003";17719;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2004";17000;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2005";15885;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2006";13293;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2007";10556;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2008";9003;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2009";11947;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2010";13801;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2011";14640;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2012";15236;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2013";15193;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2014";12397;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2015";10189;"osoba";"";
