"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2010";4476;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2011";4605;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2012";4147;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2013";4076;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2014";4290;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2015";4303;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2016";4294;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2017";4509;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2018";4572;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2019";4894;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2020";5367;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2021";5834;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2010";6282;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2011";6405;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2012";6254;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2013";5959;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2014";6184;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2015";6102;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2016";6180;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2017";6246;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2018";6511;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2019";7002;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2020";8094;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2021";8869;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2010";2908;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2011";3037;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2012";3064;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2013";3099;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2014";2907;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2015";2835;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2016";3183;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2017";3259;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2018";3716;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2019";3854;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2020";4286;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2021";4949;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2010";2857;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2011";2846;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2012";2718;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2013";2673;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2014";2711;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2015";2695;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2016";2712;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2017";2772;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2018";3103;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2019";3612;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2020";4249;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2021";4698;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2010";2988;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2011";3103;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2012";3049;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2013";3250;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2014";3000;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2015";2916;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2016";3027;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2017";3104;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2018";3424;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2019";3777;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2020";4188;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2021";4624;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2010";7821;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2011";5587;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2012";4844;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2013";3932;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2014";4039;"zł";"";
