"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2010";4464;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2011";4423;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2012";4024;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2013";3992;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2014";4172;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2015";4200;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2016";4164;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2017";4324;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2018";4491;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2019";4783;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2020";5249;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2021";5743;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2010";6530;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2011";6543;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2012";6330;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2013";6196;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2014";6339;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2015";6495;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2016";6424;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2017";6497;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2018";6699;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2019";7253;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2020";8277;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2021";9056;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2010";3012;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2011";3140;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2012";3305;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2013";3259;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2014";2972;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2015";2903;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2016";3436;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2017";3572;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2018";4071;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2019";3781;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2020";4215;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2021";4670;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2010";2877;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2011";2823;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2012";2722;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2013";2689;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2014";2755;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2015";2685;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2016";2797;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2017";2835;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2018";3093;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2019";3481;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2020";4087;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"ogółem";"2021";4516;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2010";2955;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2011";3057;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2012";2985;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2013";3175;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2014";2983;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2015";2932;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2016";3039;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2017";3099;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2018";3324;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2019";3630;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2020";4095;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"ogółem";"2021";4379;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2010";7798;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2011";6999;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2012";4968;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2013";4173;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2014";4180;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2015";5990;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2016";6232;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2017";6029;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2018";6319;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2019";6730;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2020";8063;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"ogółem";"2021";9584;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2010";3294;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2011";3411;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2012";3319;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2013";3248;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2014";3255;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2015";3111;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2016";3280;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2017";3709;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2018";3681;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2019";4060;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2020";4594;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"ogółem";"2021";5251;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2010";2166;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2011";2142;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2012";2130;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2013";2110;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2014";2028;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2015";1991;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2016";2005;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2017";2082;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2018";2218;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2019";2445;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2020";2838;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"ogółem";"2021";3338;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2010";2916;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2011";2954;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2012";2818;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2013";2871;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2014";2890;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2015";2764;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2016";2808;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2017";3118;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2018";3375;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2019";3886;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2020";4413;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"ogółem";"2021";4762;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"ogółem";"2010";3106;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"ogółem";"2011";3062;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"ogółem";"2012";2867;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"ogółem";"2013";2853;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"ogółem";"2014";2630;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"ogółem";"2015";2763;"zł";"";
