"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"1995";320860;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"1996";322336;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"1997";323818;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"1998";325198;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"1999";326981;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2000";327952;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2001";329169;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2002";330775;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2003";333045;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2004";334954;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2005";336790;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2006";338835;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2007";341200;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2008";343886;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2009";346921;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2010";352477;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2011";355442;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2012";358077;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2013";360197;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2014";362188;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2015";364025;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2016";366456;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2017";369053;"osoba";"";
