"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"1995";311516;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"1996";312810;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"1997";314159;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"1998";315460;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"1999";314579;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2000";315862;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2001";317141;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2002";318570;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2003";320405;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2004";321967;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2005";323521;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2006";325210;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2007";327279;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2008";329566;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2009";332512;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2010";339792;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2011";342561;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2012";345146;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2013";347591;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2014";349674;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2015";351743;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2016";353933;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2017";356395;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2018";358926;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2019";361061;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2020";374290;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"mężczyźni";"2021";376070;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"1995";26393;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"1996";26492;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"1997";27000;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"1998";27534;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"1999";28431;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2000";28591;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2001";28840;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2002";28617;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2003";28131;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2004";27483;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2005";26974;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2006";26739;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2007";26397;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2008";25943;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2009";25255;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2010";24564;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2011";23716;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2012";22867;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2013";21975;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2014";21259;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2015";20957;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2016";20535;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2017";20160;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2018";19792;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2019";19560;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2020";20216;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"mężczyźni";"2021";20432;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"1995";23537;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"1996";24331;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"1997";24824;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"1998";25577;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"1999";25545;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2000";26196;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2001";26583;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2002";27164;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2003";27906;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2004";28645;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2005";28848;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2006";29054;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2007";28720;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2008";28129;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2009";27562;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2010";26954;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2011";26767;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2012";26552;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2013";26204;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2014";25580;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2015";24899;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2016";23934;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2017";23010;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2018";22154;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2019";21422;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2020";20635;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"mężczyźni";"2021";20476;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"1995";21905;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"1996";22356;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"1997";22871;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"1998";23111;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"1999";22784;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2000";23327;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2001";24223;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2002";24936;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2003";25737;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2004";26229;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2005";27075;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2006";27420;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2007";28121;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2008";28923;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2009";29683;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2010";29345;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2011";29381;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2012";29104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2013";28484;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2014";27751;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2015";27282;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2016";27114;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2017";26876;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2018";26487;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2019";25873;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2020";24022;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"mężczyźni";"2021";22972;"osoba";"";
