"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"1995";632376;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"1996";635146;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"1997";637977;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"1998";640658;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"1999";641560;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2000";643814;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2001";646310;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2002";649345;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2003";653450;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2004";656921;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2005";660311;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2006";664045;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2007";668479;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2008";673452;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2009";679433;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2010";692269;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2011";698003;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2012";703223;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2013";707788;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2014";711862;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2015";715768;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2016";720389;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2017";725448;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2018";730425;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2019";734873;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2020";760617;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"ogółem";"2021";764372;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"ogółem";"1995";51440;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"ogółem";"1996";51929;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"ogółem";"1997";52892;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"15-19";"ogółem";"1998";53959;"osoba";"";
