"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2002";5,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2003";5,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2004";5,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2005";5,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2006";6,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2007";6,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2008";6,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2009";6,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2010";6,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2011";5,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2012";5,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2013";4,9;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2014";5,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2015";5,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2016";5,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2017";5,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2018";5,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2019";5,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2020";3,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2021";4,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2002";4,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2003";4,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2004";4,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2005";4,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2006";5,3;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2007";5,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2008";6,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2009";6,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2010";5,4;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2011";4,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2012";4,5;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2013";4,3;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2014";4,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2015";4,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2016";5,3;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2017";5,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2018";5,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2019";6,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2020";5,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2021";6,1;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2022";;"-";"n";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2002";6,1;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2003";6,1;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2004";5,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2005";6,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2006";6,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2007";7,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2008";7,6;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2009";7,6;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2010";6,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2011";6,3;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2012";6,3;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2013";5,7;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2014";6,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2015";5,8;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2016";5,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2017";5,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2018";5,9;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2019";5,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2020";4,4;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2021";5,0;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2022";;"-";"n";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2002";5,4;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2003";5,3;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2004";5,2;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2005";5,8;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2006";6,2;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2007";6,6;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2008";6,8;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2009";6,7;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2010";6,2;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2011";5,6;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2012";5,5;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2013";5,0;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2014";5,2;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2015";5,0;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2016";5,0;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2017";5,0;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2018";5,0;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2019";4,6;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2020";3,7;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2021";4,2;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2022";;"-";"n";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2002";5,2;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2003";5,3;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2004";5,2;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2005";5,7;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2006";6,0;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2007";6,5;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2008";7,1;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2009";6,5;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2010";6,3;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2011";5,6;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2012";5,7;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2013";5,1;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2014";5,4;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2015";5,3;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2016";5,4;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2017";5,3;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2018";5,2;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2019";4,9;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2020";4,0;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2021";4,5;"-";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2022";;"-";"n";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2002";5,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2003";5,2;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2004";5,3;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2005";5,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2006";5,7;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2007";6,6;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2008";6,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2009";6,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2010";6,0;"-";"";
