"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2002";3,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2003";12,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2004";2,9;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2005";3,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2006";2,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2007";4,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2008";6,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2009";5,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2010";4,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2011";4,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2012";4,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2013";4,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2014";4,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2015";4,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2016";4,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2017";4,9;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2018";4,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2019";4,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2020";5,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2021";6,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"mieszkania oddane do użytkowania na 1000 ludności";"2022";;"-";"n";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2002";131,7;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2003";133,0;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2004";131,4;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2005";144,1;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2006";146,4;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2007";143,5;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2008";136,3;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2009";143,0;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2010";150,0;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2011";148,5;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2012";141,8;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2013";144,8;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2014";138,6;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2015";142,9;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2016";140,9;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2017";134,3;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2018";135,2;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2019";134,9;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2020";121,5;"m2";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2021";128,8;"m2";"";
