"Kod";"Nazwa";"Rozwody i separacje";"Lokalizacja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"1999";260;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2000";308;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2001";286;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2002";286;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2003";312;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2004";433;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2005";705;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2006";764;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2007";608;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2008";639;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2009";669;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2010";637;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2011";955;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2012";913;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2013";756;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2014";847;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2015";960;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2016";935;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2017";885;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2018";890;"-";"";
011212000000;"PODREGION KRAKOWSKI";"rozwody";"ogółem";"2019";934;"-";"";
