"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2004";14,8;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2005";13,3;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2006";10,3;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2007";7,7;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2008";6,7;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2009";9,8;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2010";11,1;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2011";11,0;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2012";11,7;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2013";11,6;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2014";9,3;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2015";7,3;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2016";6,0;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2017";4,7;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2018";4,2;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2019";3,4;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2020";4,8;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2021";4,8;"%";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2022";4,3;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2004";7,5;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2005";7,0;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2006";5,5;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2007";3,8;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2008";2,8;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2009";4,1;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2010";4,7;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2011";4,8;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2012";5,8;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2013";5,8;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2014";5,1;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2015";4,4;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2016";3,5;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2017";2,7;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2018";2,3;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2019";2,0;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2020";3,1;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2021";2,8;"%";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2022";2,3;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2004";0,0;"%";"x";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2005";22,1;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2006";19,2;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2007";15,5;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2008";12,9;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2009";15,5;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2010";15,1;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2011";15,1;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2012";15,8;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2013";15,9;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2014";13,3;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2015";11,9;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2016";8,9;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2017";7,1;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2018";6,4;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2019";5,8;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2020";7,0;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2021";7,2;"%";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2022";7,1;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2004";0,0;"%";"x";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2005";17,4;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2006";14,6;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2007";11,1;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2008";9,4;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2009";12,0;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2010";13,0;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2011";13,2;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2012";14,7;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2013";14,5;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2014";12,3;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2015";10,4;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2016";8,0;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2017";7,0;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2018";6,4;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2019";5,7;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2020";7,2;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2021";6,5;"%";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2022";6,1;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2004";16,6;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2005";15,8;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2006";13,2;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2007";10,8;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2008";10,1;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2009";12,7;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2010";12,6;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2011";12,7;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2012";13,9;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2013";14,2;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2014";12,4;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2015";10,9;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2016";9,1;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2017";7,7;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2018";6,7;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2019";5,6;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2020";6,7;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2021";6,9;"%";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2022";6,8;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2004";0,0;"%";"x";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2005";12,8;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2006";10,3;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2007";8,5;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2008";7,8;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2009";9,9;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2010";11,3;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2011";11,6;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2012";13,2;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2013";14,0;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2014";12,3;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2015";10,5;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2016";8,9;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2017";7,2;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2018";6,4;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2019";5,8;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2020";7,2;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2021";7,0;"%";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2022";6,1;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2004";13,6;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2005";12,6;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2006";10,1;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2007";7,1;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2008";6,4;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2009";8,8;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2010";9,2;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2011";9,4;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2012";10,5;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2013";10,2;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2014";8,4;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2015";6,8;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2016";5,3;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2017";4,3;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2018";3,8;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2019";3,4;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2020";4,6;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2021";4,1;"%";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2022";3,4;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2004";20,9;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2005";19,1;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2006";16,3;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2007";12,4;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2008";9,9;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2009";13,2;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2010";14,4;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2011";15,0;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2012";15,5;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2013";16,2;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2014";14,4;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2015";12,9;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2016";10,8;"%";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2017";8,2;"%";"";
