"Kod";"Nazwa";"Świadczenie wychowawcze";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2017";520262738;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2018";508574475;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2019";695132264;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2020";904616151;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"wydatki na świadczenia wychowawcze";"2021";913470826;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2017";334946991;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2018";329254478;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2019";540004203;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2020";777094173;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"wydatki na świadczenia wychowawcze";"2021";785976802;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2017";469063743;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2018";459205234;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2019";557552845;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2020";668139222;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"wydatki na świadczenia wychowawcze";"2021";662202252;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2017";317100323;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2018";306281307;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2019";432631529;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2020";572037579;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"wydatki na świadczenia wychowawcze";"2021";567400585;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2017";309403143;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2018";297485044;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2019";389841982;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2020";482856024;"zł";"";
011212400000;"PODREGION TARNOWSKI";"wydatki na świadczenia wychowawcze";"2021";474766351;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2017";275926364;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2018";270386885;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2019";325953902;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2020";390640913;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"wydatki na świadczenia wychowawcze";"2021";386054271;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2017";399273302;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2018";383692024;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2019";544023199;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2020";727751486;"zł";"";
012414400000;"PODREGION BIELSKI";"wydatki na świadczenia wychowawcze";"2021";728405379;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2017";231743383;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2018";223240946;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2019";313747587;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2020";413996885;"zł";"";
012414500000;"PODREGION BYTOMSKI";"wydatki na świadczenia wychowawcze";"2021";415785493;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2017";283441081;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2018";268969716;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2019";362400576;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2020";469194581;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"wydatki na świadczenia wychowawcze";"2021";465770570;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2017";220686170;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2018";213847367;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2019";319490487;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2020";436130357;"zł";"";
012414700000;"PODREGION GLIWICKI";"wydatki na świadczenia wychowawcze";"2021";434501036;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2017";348507841;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2018";333684725;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2019";502175736;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2020";678675067;"zł";"";
012414800000;"PODREGION KATOWICKI";"wydatki na świadczenia wychowawcze";"2021";674825912;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2017";331662705;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2018";320524113;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2019";472127772;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2020";648018277;"zł";"";
012414900000;"PODREGION RYBNICKI";"wydatki na świadczenia wychowawcze";"2021";645169121;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2017";303430158;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2018";289003123;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2019";439578302;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2020";604608228;"zł";"";
012415000000;"PODREGION SOSNOWIECKI";"wydatki na świadczenia wychowawcze";"2021";600813148;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2017";219737374;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2018";215044102;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2019";331632102;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2020";454098046;"zł";"";
012415100000;"PODREGION TYSKI";"wydatki na świadczenia wychowawcze";"2021";455585045;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2017";220371592;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2018";208895306;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2019";290648931;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2020";390159985;"zł";"";
020811300000;"PODREGION GORZOWSKI";"wydatki na świadczenia wychowawcze";"2021";384950205;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2017";352429712;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2018";335346120;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2019";463060094;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2020";619363170;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"wydatki na świadczenia wychowawcze";"2021";614589620;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2017";465487262;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2018";440231982;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2019";572959918;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2020";731669724;"zł";"";
023015700000;"PODREGION KALISKI";"wydatki na świadczenia wychowawcze";"2021";729615188;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2017";446448464;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2018";420212506;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2019";550906141;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2020";707039733;"zł";"";
023015800000;"PODREGION KONIŃSKI";"wydatki na świadczenia wychowawcze";"2021";706093656;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2017";404918582;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2018";386492058;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2019";512938914;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2020";660873789;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"wydatki na świadczenia wychowawcze";"2021";662701109;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2017";279957500;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2018";262742274;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2019";346099328;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2020";448263757;"zł";"";
023016000000;"PODREGION PILSKI";"wydatki na świadczenia wychowawcze";"2021";439076352;"zł";"";
