"Kod";"Nazwa";"Współczynniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2002";1,404;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2003";1,342;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2004";1,334;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2005";1,345;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2006";1,321;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2007";1,394;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2008";1,464;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2009";1,488;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2010";1,430;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2011";1,414;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2012";1,371;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2013";1,343;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2014";1,367;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2015";1,377;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2016";1,439;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2017";1,515;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2018";1,521;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2019";1,465;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2020";1,498;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2021";1,433;"-";"";
011212000000;"PODREGION KRAKOWSKI";"dzietność";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2002";1,006;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2003";1,014;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2004";1,031;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2005";1,061;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2006";1,077;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2007";1,083;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2008";1,199;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2009";1,251;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2010";1,199;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2011";1,111;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2012";1,091;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2013";1,091;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2014";1,110;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2015";1,185;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2016";1,323;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2017";1,404;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"dzietność";"2018";1,486;"-";"";
