"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2002";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2003";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2004";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2005";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2006";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2007";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2008";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2009";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2010";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2011";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2012";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2013";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2014";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2015";103;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2016";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2017";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2018";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2019";104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2020";103;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2021";103;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2002";113;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2003";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2004";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2005";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2006";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2007";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2008";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2009";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2010";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2011";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2012";115;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2013";115;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2014";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2015";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2016";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2017";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2018";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2019";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2020";114;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2021";114;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2002";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2003";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2004";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2005";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2006";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2007";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2008";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2009";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2010";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2011";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2012";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2013";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2014";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2015";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2016";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2017";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2018";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2019";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2020";102;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2021";102;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2002";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2003";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2004";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2005";105;"osoba";"";
