"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2002";2005,98;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2003";2043,51;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2004";2091,61;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2005";2158,55;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2006";2244,29;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2007";2472,93;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2008";2700,24;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2009";2853,76;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2010";3007,55;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2011";3169,45;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2012";3297,54;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2013";3436,01;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2014";3552,25;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2015";3775,55;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2016";4009,95;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2017";4293,01;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2018";4622,58;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2019";4907,62;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2020";5190,51;"zł";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"2021";5321,38;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2002";2300,64;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2003";2324,15;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2004";2463,26;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2005";2579,09;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2006";2753,21;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2007";2995,18;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2008";3259,63;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2009";3423,56;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2010";3543,43;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2011";3722,48;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2012";3877,57;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2013";3997,80;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2014";4152,52;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2015";4431,17;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2016";4635,26;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2017";4966,20;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2018";5368,39;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2019";5878,79;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2020";6482,24;"zł";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"2021";7203,41;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2002";1813,69;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2003";1895,88;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2004";1934,66;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2005";2014,91;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2006";2086,05;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2007";2283,30;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2008";2479,05;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2009";2601,94;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2010";2686,32;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2011";2808,25;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2012";2887,89;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2013";2982,13;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2014";3077,10;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2015";3188,12;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2016";3293,79;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2017";3472,91;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2018";3720,42;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2019";3964,93;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2020";4260,25;"zł";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"2021";4672,68;"zł";"";
