"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";24;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";28;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";41;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";49;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";71;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";94;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";102;"-";"";
011212000000;"PODREGION KRAKOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";134;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";175;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";204;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";230;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";257;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";308;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";327;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";407;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";429;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";27;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";25;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";33;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";48;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";65;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";88;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";101;"-";"";
011212200000;"PODREGION NOWOSĄDECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";108;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";26;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";29;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";37;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";58;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";80;"-";"";
